ano,mes,tentesp,zeuro,euribor,mibor,irs,deuda,bancos,cajas,ceca,ahe,ced
2009,Oct,"2,921",-,"1,243","1,243",-,"2,470","2,554","3,182","5,000",-,"3,044"
2009,Nov,"2,859",-,"1,231","1,231",-,"2,437","2,487","3,123","4,875",-,"3,139"
2009,Dic,"2,819",-,"1,242","1,241",-,"2,372","2,484","3,058","4,625","1,750","3,093"
2010,Ene,"2,810",-,"1,232","1,232",-,"2,351","2,487","3,025","5,125",-,"3,197"
2010,Feb,"2,813",-,"1,225","1,253",-,"2,371","2,425","3,089","4,875",-,"3,142"
2010,Mar,"2,780",-,"1,215","1,199",-,"2,366","2,476","3,009","4,375","1,500","3,231"
2010,Abr,"2,786",-,"1,225","1,222",-,"2,368","2,499","2,996","4,750",-,"3,308"
2010,May,"2,674",-,"1,249","1,249",-,"2,457","2,324","2,920","4,750",-,"3,239"
2010,Jun,"2,709",-,"1,281","1,281",-,"2,650","2,443","2,921","4,500","1,500","3,198"
2010,Jul,"2,705",-,"1,373","1,373",-,"2,739","2,432","2,924","4,125",-,"3,113"
2010,Ago,"2,766",-,"1,421","1,421",-,"2,758","2,543","2,938","5,000",-,"3,107"
2010,Sep,"2,799",-,"1,420","1,418",-,"2,850","2,652","2,927","5,125","1,750","3,160"
2010,Oct,"2,795",-,"1,495","1,491",-,"2,885","2,600","2,963","4,875",-,"3,186"
2010,Nov,"2,825",-,"1,541","1,541",-,"3,005","2,627","3,002","4,750",-,"3,276"
2010,Dic,"2,774",-,"1,526","1,525",-,"3,122","2,593","2,945","4,750","1,750","3,473"
2011,Ene,"2,918",-,"1,550","1,550",-,"3,304","2,679","3,144","5,000",-,"3,690"
2011,Feb,"2,962",-,"1,714","1,714",-,"3,510","2,786","3,132","4,875",-,"3,953"
2011,Mar,"3,120",-,"1,924","1,924",-,"3,676","2,935","3,294","5,000","2,000","4,251"
2011,Abr,"3,226",-,"2,086","2,085",-,"3,896","3,115","3,327","4,875",-,"4,403"
2011,May,"3,355",-,"2,147","2,154",-,"4,020","3,238","3,471","5,250",-,"4,356"
2011,Jun,"3,458",-,"2,144","2,144",-,"4,055","3,355","3,559","5,375","2,500","4,366"
2011,Jul,"3,540",-,"2,183","2,226",-,"4,161","3,446","3,624","5,250",-,"4,418"
2011,Ago,"3,533",-,"2,097","2,137",-,"4,212","3,467","3,590","5,750",-,"4,434"
2011,Sep,"3,570",-,"2,067","2,208",-,"4,272","3,428","3,694","5,500","2,500","4,420"
2011,Oct,"3,586",-,"2,110","2,110",-,"4,286","3,504","3,659","5,875",-,"4,164"
2011,Nov,"3,696",-,"2,044","2,092",-,"4,459","3,641","3,747","5,625",-,"4,205"
2011,Dic,"3,626",-,"2,004","2,004",-,"4,445","3,509","3,739","5,125","2,750","4,187"
2012,Ene,"3,716",-,"1,837","1,837",-,"4,267","3,629","3,793","5,375",-,"4,436"
2012,Feb,"3,737",-,"1,678","1,679",-,"4,109","3,508","3,946","5,500",-,"4,372"
2012,Mar,"3,624",-,"1,499","1,499",-,"3,935","3,475","3,777","5,375","2,750","4,271"
2012,Abr,"3,617",-,"1,368","1,368",-,"3,905","3,540","3,691","5,625",-,"4,419"
2012,May,"3,453",-,"1,266","1,266",-,"3,802","3,294","3,607","5,625",-,"4,507"
2012,Jun,"3,481",-,"1,219","1,219",-,"4,021","3,350","3,605","5,750","2,250","4,623"
2012,Jul,"3,488",-,"1,061","1,061",-,"4,389","3,472","3,504","5,750",-,"4,482"
2012,Ago,"3,430",-,"0,877","0,877",-,"4,705","3,236","3,724","5,625",-,"4,529"
2012,Sep,"3,347",-,"0,740","0,740",-,"4,896","3,199","3,573","5,250","2,250","4,606"
2012,Oct,"3,078","3,270","0,650","0,650","0,971","4,849","2,888","3,498","5,375",-,"4,586"
2012,Nov,"2,992","3,240","0,588","0,588","0,887","4,725","2,861","3,336","4,875",-,"4,513"
2012,Dic,"3,023","3,180","0,549","0,549","0,806","4,450","2,927","3,304","4,500","2,250","4,423"
2013,Ene,"3,216","3,240","0,575","0,575","0,992","3,992","3,094","3,572","5,750",-,"3,988"
2013,Feb,"3,219","3,170","0,594","0,594","1,083","3,667","3,079","3,595","4,500",-,"3,763"
2013,Mar,"3,415","3,180","0,545","0,545","0,915","3,510","3,219","3,796","5,750","2,250","3,678"
2013,Abr,"3,378","3,190","0,528","0,528","0,822","3,338","3,104","3,900","5,375",-,"3,566"
2013,May,"3,331","3,130","0,484","0,484","0,827","3,087","3,149","3,862","5,375",-,"3,322"
2013,Jun,"3,363","3,090","0,507","0,507","1,122","2,974","3,238","3,851","5,000","2,500","3,021"
2013,Jul,"3,438","2,990","0,525","0,526","1,139","2,943","3,221","3,932","5,500",-,"2,889"
2013,Ago,"3,474","2,970","0,542","0,542","1,291","2,910","3,298","3,911","5,875",-,"2,582"
2013,Sep,"3,467","3,000","0,543","0,543","1,375","2,816","3,267","3,940","6,250","2,500","2,593"
2013,Oct,"3,252","3,050","0,541","0,541","1,251","2,741",-,-,-,-,"2,578"
2013,Nov,"3,393","3,040","0,506","0,506","1,087","2,711",-,-,-,-,"2,492"
2013,Dic,"3,287","3,060","0,543","0,543","1,156","2,603",-,-,-,"2,250","2,542"
2014,Ene,"3,274","3,010","0,562","0,562","1,172","2,427",-,-,-,-,"3,124"
2014,Feb,"3,199","3,010","0,549","0,549","1,013","2,222",-,-,-,-,"3,033"
2014,Mar,"3,177","2,950","0,577","0,577","0,998","2,067",-,-,-,"2,500","2,870"
2014,Abr,"3,181","2,900","0,604","0,604","0,957","1,888",-,-,-,-,"2,764"
2014,May,"3,164","2,910","0,592","0,592","0,831","1,720",-,-,-,-,"2,034"
2014,Jun,"3,064","2,860","0,513","0,513","0,707","1,523",-,-,-,"2,250","2,055"
2014,Jul,"3,033","2,830","0,488","0,488","0,643","1,359",-,-,-,-,"2,046"
2014,Ago,"3,021","2,750","0,469","0,469","0,580","1,213",-,-,-,-,"1,970"
2014,Sep,"2,949","2,740","0,362","0,361","0,488","1,064",-,-,-,"2,000","1,867"
2014,Oct,"2,819","2,690","0,338","0,338","0,459","0,968",-,-,-,-,"1,845"
2014,Nov,"2,606","2,630","0,335","0,335","0,420","0,883",-,-,-,-,"1,637"
2014,Dec,"2,557","2,530","0,329","0,329","0,401","0,828",-,-,-,"1,500","1,400"
2015,Ene,"2,436","2,520","0,298","0,298","0,318","0,758",-,-,-,-,"0,979"
2015,Feb,"2,457","2,53","0,255","0,255","0,302","0,712",-,-,-,-,"0,981"
2015,Mar,"2,324","2,470","0,212","0,212","0,275","0,655",-,-,-,"1,25","0,927"
2015,Abr,"2,251","2,454","0,180","0,180","0,216","0,585",-,-,-,-,"0,864"
2015,May,"2,156","2,400","0,165","0,165","0,384","0,535",-,-,-,-,0.618
2015,Jun,"2,161","2,330","0,163","0,163","0,521","0,555",-,-,-,"1,000","0,552"
2015,Jul,"2,152","2,250","0,167","0,167","0,463","0,573",-,-,-,-,"0,457"
2015,Aug,"2,182","2,260","0,161","0,161","0,395","0,579",-,-,-,-,"0,479"
2015,Sep,"2,117","2,280","0,154","0,154","0,390","0,641",-,-,-,"1,000","0,491"
2015,Oct,"2,127","2,360","0,128","0,128","0,315","0,665",-,-,-,-,"0,549"
2015,Nov,"2,132","2,320","0,079","0,079","0,231","0,654",-,-,-,-,"0,620"
2015,Dec,"2,054","2,320","0,059","0,059","0,266","0,597",-,-,-,"1,000","0,705"
2016,Ene,"2,014","2,270","0,042","0,042","0,202","0,545",-,-,-,-,"0,794"
2016,Feb,"2,007","2,230","-0,008","-0,008","0,047","0,525",-,-,-,-,"0,824"
2016,Mar,"1,919","2,200","-0,012","-0,012","0,025","0,455",-,-,-,"1,000","0,851"
2016,Apr,"2,030","2,090","-0,010","-0,010","0,024","0,423",-,-,-,-,"0,865"
2016,May,"1,890","2,100","-0,013","-0,013","0,020","0,388",-,-,-,-,"0,840"
2016,Jun,"1,970","2,030","-0,028","-0,028","0,040","0,358",-,-,-,"1,000","0,671"
2016,Jul,"2,007","2,000","-0,056","-0,056","0,140","0,306",-,-,-,-,"0,646"
2016,Ago,"1,957","1,960","-0,048","-0,048","0,133","0,224",-,-,-,-,"0,573"
2016,Sep,"1,903","1,960","-0,057","-0,057","0,131","0,165",-,-,-,"1,250","0,444"
2016,Oct,"1,921","1,980","-0,069","-0,069","-0,065","0,110",-,-,-,-,"0,245"
2016,Nov,"1,936","1,900","-0,074","-0,074","0,083","0,105",-,-,-,-,"0,248"
2016,Dec,"1,874","1,910","-0,080","-0,080","0,118","0,078",-,-,-,"1,000","0,364"
2017,Ene,"1,928","1,880","-0,095","-0,095","0,122","0,087",-,-,-,-,"0,479"
2017,Feb,"1,881","1,870","-0,106","-0,106","0,146","0,136",-,-,-,-,"0,479"
2017,Mar,"1,879","1,890","-0,110","-0,110","0,232","0,179",-,-,-,"1,000","0,482"
2017,Abr,"1,906","1,880","-0,119","-0,119","0,163","0,215",-,-,-,-,"0,612"
2017,May,"1,947","1,900","-0,127","-0,127","0,208","0,205",-,-,-,-,"0,596"
2017,Jun,"1,913","1,900","-0,149","-0,149","0,160","0,187",-,-,-,"1,000","0,531"
2017,Jul,"1,929","1,910","-0,154","-0,154","0,287","0,183",-,-,-,-,"0,391"
2017,Ago,"1,953","1,910","-0,156","-0,156","0,208","0,142",-,-,-,-,"0,391"
2017,Sep,"1,873","2,000","-0,168","-0,168","0,198","0,104",-,-,-,"1,000","0,398"
2017,Oct,"1,904","1,930","-0,180","-0,180","0,233","0,074",-,-,-,,"0,191"
2017,Nov,"1,910","1,920","-0,189","-0,189","0,203","0,065",-,-,-,-,"0,180"
2017,Dic,"1,902","1,930","-0,190","-0,190","0,237","0,073",-,-,-,"1,000","0,197"
2018,Ene,"1,938","1,860","-0,189","-0,189","0,369","0,070",-,-,-,-,"0,208"
2018,Feb,"1,900","1,870","-0,191","-0,191","0,480","0,093",-,-,-,-,"0,226"
2018,Mar,"1,895","1,880","-0,191","-0,191","0,425","0,108",-,-,-,"1,000","0,192"
2018,Abr,"1,905","1,840","-0,190","-0,190","0,388","0,107",-,-,-,-,"0,343"
2018,May,"1,892","1,850","-0,188","-0,188","0,381","0,119",-,-,-,-,"0,532"
2018,Jun,"1,862","1,870","-0,181","-0,181","0,318","0,136",-,-,-,"1,000","0,545"
2018,Jul,"1,854","1,820","-0,180","-0,180","0,279","0,136",-,-,-,-,"0,883"
2018,Ago,"1,932","1,850","-0,169","-0,169","0,291","0,120",-,-,-,-,"0,793"
2018,Sep,"1,891","1,820","-0,166","-0,166","0,337","0,134",-,-,-,"1,000","0,315"
2018,Oct,"1,932","1,820","-0,154","-0,154","0,397","0,189",-,-,-,-,"0,379"
2018,Nov,"2,009","1,800","-0,147","-0,147","0,333","0,218",-,-,-,-,"0,340"
2018,Dic,"2,037","1,850","-0,129","-0,129","0,254","0,217",-,-,-,"1,250","0,210"
2019,Ene,"2,022","1,810","-0,116","-0,116","0,183","0,221",-,-,-,-,"0,216"
2019,Feb,"2,056","1,810","-0,108","-0,108","0,133","0,223",-,-,-,-,"0,240"
2019,Mar,"2,039","1,840","-0,109","-0,109","0,090","0,196",-,-,-,"1,250","0,242"
2019,Abr,"2,017","1,800","-0,112","-0,112","0,039","0,136",-,-,-,-,"0,189"
2019,May,"2,052","1,770","-0,134","-0,134","-0,023","0,066",-,-,-,-,"0,218"
2019,Jun,"2,041","1,790","-0,190","-0,190","-0,171","0,008",-,-,-,"1,000","0,363"
2019,Jul,"1,836","1,730","-0,283","-0,283","-0,274","-0,070",-,-,-,-,"0,262"
2019,Ago,"1,913","1,710","-0,356","-0,356","-0,460","-0,143",-,-,-,-,"0,209"
2019,Sep,"1,825","1,680","-0,339","-0,339","-0,432","-0,201",-,-,-,"0,750","0,238"
2019,Oct,"1,806","1,640","-0,304","-0,304","-0,322","-0,252",-,-,-,-,"0,188"
2019,Nov,"1,803","1,590","-0,272","-0,272","-0,220","-0,272",-,-,-,-,"0,074"
2019,Dic,"1,807","1,590","-0,261","-0,261","-0,181","-0,264",-,-,-,"0,750","0,062"
2020,Ene,"1,825","1,580","-0,253","-0,253","-0,186","-0,235",-,-,-,-,"0,059"
2020,Feb,"1,816","1,520","-0,288","-0,288","-0,303","-0,219",-,-,-,-,"0,058"
2020,Mar,"1,765","1,540","-0,266","-0,266","-0,282","-0,166",-,-,-,"0,750","0,040"
2020,Abr,"1,754","1,550","-0,108","-0,108","-0,224","-0,075",-,-,-,-,"0,092"
2020,May,"1,745","1,540","-0,081","-0,081","-0,292","-0,049",-,-,-,-,"0,093"
2020,Jun,"1,744","1,580","-0,147","-0,147","-0,300","-0,054",-,-,-,"0,500","0,114"
2020,Jul,"1,745","1,640","-0,279","-0,279","-0,363","-0,070",-,-,-,-,"0,113"
2020,Ago,"1,743","1,580","-0,359","-0,359","-0,380","-0,077",-,-,-,-,"0,112"
2020,Ago,"1,743","1,580","-0,359","-0,359","-0,380","-0,077",-,-,-,-,"0,112"
