ano,mes,tentesp,zeuro,euribor,mibor,irs,deuda,bancos,cajas,ceca,ahe,ced
1992,Jul,"14,760",-,-,"13,137",-,"11,824","15,070","14,430","14,250",-,"10,520"
1992,Ago,"14,920",-,-,"13,892",-,"12,107","15,230","14,490","14,375",-,"10,470"
1992,Sep,"14,960",-,-,"14,173",-,"12,483","15,340","14,530","14,500","13,000","10,330"
1992,Oct,"15,150",-,-,"14,173",-,"12,875","15,660","14,640","14,625",-,"10,270"
1992,Nov,"15,240",-,-,"14,119",-,"13,128","15,600","14,830","14,625",-,"10,160"
1992,Dic,"15,410",-,-,"14,507",-,"13,337","15,720","14,980","14,625","13,500","10,510"
1993,Ene,"15,440",-,-,"13,843",-,"13,351","15,920","15,000","14,875",-,"11,040"
1993,Feb,"15,420",-,-,"13,051",-,"13,146","15,910","14,940","14,750",-,"11,140"
1993,Mar,"15,260",-,-,"13,245",-,"12,814","15,680","14,760","14,750","13,250","11,110"
1993,Abr,"15,180",-,-,"13,028",-,"12,442","15,550","14,800","14,750",-,"10,930"
1993,May,"14,890",-,-,"11,963",-,"12,077","15,140","14,710","14,625",-,"10,990"
1993,Jun,"14,280",-,-,"10,409",-,"11,541","14,480","14,150","14,000","11,250","10,480"
1993,Jul,"13,860",-,-,"10,221",-,"11,067","14,180","13,670","13,075",-,"10,060"
1993,Ago,"13,780",-,-,"9,784",-,"10,563","14,060","13,560","13,625",-,"9,990"
1993,Sep,"13,420",-,-,"9,334",-,"10,016","13,640","13,370","13,500","10,750","9,610"
1993,Oct,"12,740",-,-,"9,102",-,"9,475","12,570","12,910","13,000",-,"9,180"
1993,Nov,"12,030",-,-,"8,742",-,"9,000","11,910","12,480","12,750",-,"8,870"
1993,Dic,"11,730",-,-,"8,238",-,"8,507","11,563","12,165","12,375","9,000","8,300"
1994,Ene,"11,351",-,-,"8,090",-,"8,236","11,379","11,438","12,125",-,"8,070"
1994,Feb,"11,079",-,-,"8,139",-,"8,270","10,985","11,425","12,000",-,"8,013"
1994,Mar,"10,792",-,-,"8,041",-,"7,959","10,565","11,143","11,500","8,500","7,898"
1994,Abr,"10,535",-,-,"7,879",-,"7,966","10,313","10,820","11,250",-,"7,861"
1994,May,"10,277",-,-,"7,835",-,"8,069","9,952","10,606","11,000",-,"7,847"
1994,Jun,"10,124",-,-,"8,198",-,"8,363","9,742","10,484","11,000","9,000","7,112"
